id,paper,exam_round,year,question_number,variant,taxonomy_code,prompt_md,option_a,option_b,option_c,option_d,option_e,answer,explanation_md,question_type,source_ref,review_status,enabled,updated_at
mock-p1-r1-y107-q011,p1,1,107,11,,,有關餐旅從業人員應有的職業道德認知，下列敘述何者錯誤？,公司產品配方之保密，屬管理者職責,服裝儀容符合公司規定，不特異獨行,遵循職場倫理，尊重同仁職位與職權,審慎評估自我能力，不任意跳槽轉業,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q11,needs-review,FALSE,
mock-p1-r1-y107-q012,p1,1,107,12,,,餐旅從業人員面對顧客抱怨問題，應有的專業處理態度下列何者不宜？,耐心傾聽客訴，並適時安撫情緒,抱持同理心，了解顧客不滿原因,提供顧客及時且適宜的回饋補償,前檯人員應保持沉默，不做回應,,D,,single-choice,117-1專一試題\auto\117-1專一試題.md#q12,needs-review,FALSE,
mock-p1-r1-y107-q013,p1,1,107,13,,,下列敘述中，何者從事之活動未符合「觀光」之定義？,阿丞家住臺中，與同學搭乘火車前往臺南探看報到學校，晚上逛花園夜市，住民宿過夜,小德家住臺北，與臺南來訪的友人一同參觀臺北故宮，夜宿晶華酒店，隔日才返家,阿傑家住桃園，前往宜蘭出差，工作結束已是深夜，便投住宿當地飯店，隔日才返家,小柔家住高雄，假日與友人前往墾丁度假，夜遊墾丁大街，並住宿福華飯店,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q13,needs-review,FALSE,
mock-p1-r1-y107-q014,p1,1,107,14,,,有關歐美地區餐旅業發展史事之敘述，下列何者正確？,上古時期－達官顯要與權貴人士主要的旅遊活動形式為「階級旅遊」(Class Travel),中古時期－盛行以教育目的為主的大旅遊(Grand Tour)，更被視為當代「學習旅遊」(Comprehensive Tour)之前身,文藝復興時期－十字軍東征促進東西方文化交流，奠定歐洲人東遊之基礎,工業革命時期－此一時期稱為「黑暗時代」(The Dark Ages),,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q14,needs-review,FALSE,
mock-p1-r1-y107-q015,p1,1,107,15,,,下列何者不是發展觀光餐旅業「正面」之影響？,環境方面：自然環境資源資產得以保存完善,經濟方面：過度依賴餐旅產業影響經濟穩定度,社會方面：平衡城鄉發展差距,文化方面：促進文化交流、開闊國際視野,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q15,needs-review,FALSE,
mock-p1-r1-y107-q016,p1,1,107,16,,,餐飲商品之構成，包含有形(Tangible)與無形(Intangible)商品，下列相關敘述何者正確？甲、Supporting Facilities：無形商品；支援設施，例如：裝潢乙、Facilitating Goods：有形商品；促成商品，例如：餐點、飲料丙、Explicit Service：無形商品；外顯服務，例如：餐廳環境清潔丁、Implicit Service：有形商品；內隱服務，例如：服務人員親切感,甲、乙,乙、丙,丙、丁,甲、乙、丙、丁,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q16,needs-review,FALSE,
mock-p1-r1-y107-q017,p1,1,107,17,,,有關餐廳早期名稱之組合，下列何者錯誤？,Café：咖啡廳,Tavern：小酒館,Brasserie：自助餐廳,Inn：古代歐洲小客棧,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q17,needs-review,FALSE,
mock-p1-r1-y107-q018,p1,1,107,18,,,有關我國餐飲業的近代發展過程，下列敘述何者錯誤？,「浙江菜」具有中西合璧的特色，成為中國最早歐系化的菜系,1840 年鴉片戰爭開啟了中國的大門，西方餐飲文化開始在各大通商口岸興起，上海地區更將西餐統稱為「大菜,臺灣光復初期所盛行的「酒家菜」其食材與排場都很奢華，當時有「官菜」之稱,民國23 年臺灣首家西餐廳「波麗路西餐廳」開業,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q18,needs-review,FALSE,
mock-p1-r1-y107-q019,p1,1,107,19,,,有關臺灣各地區之名產組合配對，下列敘述何者正確？,臺北文山：普洱茶,臺南官田：蓮子,高雄岡山：豆瓣醬,屏東東港：烏魚子,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q19,needs-review,FALSE,
mock-p1-r1-y107-q020,p1,1,107,20,,,有關餐廳廚房與顧客用餐場所的格局設計，下列敘述何者正確？,廚房氣壓應保持負壓狀態,貨物進出通道不需與客人動線區隔,顧客用餐場所與廚房之間隔，應保持遠距,廚房調理檯燈光照明度應保持一百米燭光,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q20,needs-review,FALSE,
mock-p1-r1-y107-q021,p1,1,107,21,,,有關歐美西餐廚藝代表人物及其貢獻之敘述，下列何者錯誤？,Georges Auguste Escoffier 建立廚房人員編制及職務內容，有「二十世紀烹飪學之父」之稱,Marie Antoine Caréme建立上菜次序，強調菜餚是一種藝術，並有「西餐之父」稱號,Fernand Point 二十世紀新廚藝時代的推動者，以食材新鮮、簡單自然烹調方式為主,Julia Child對法國料理用心投入並教美國人享受烹飪的樂趣，生平事跡更被拍攝成「美味關係」電影，登上大螢幕放映,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q21,needs-review,FALSE,
mock-p1-r1-y107-q022,p1,1,107,22,,,下列選項中，何者為餐飲業連鎖加盟3S 原則中之「專業化原則」？,Simplification,Specialization,Standardization,Segmentation,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q22,needs-review,FALSE,
mock-p1-r1-y107-q023,p1,1,107,23,,,假日市集、觀光景點常見各式具造型特色之活動餐車，提供各式輕食供民眾點購；此類餐車提供之餐飲服務方式，應屬下列何者？,Gourmet RestaurantSpecialty RestaurantFamily RestaurantLimited Service Restaurant,Specialty RestaurantGourmet RestaurantLimited Service RestaurantFamily Restaurant,Limited Service RestaurantGourmet RestaurantSpecialty RestaurantFamily Restaurant,Limited Service RestaurantSpecialty RestaurantFamily RestaurantGourmet Restaurant,,D,,single-choice,117-1專一試題\auto\117-1專一試題.md#q23,needs-review,FALSE,
mock-p1-r1-y107-q025,p1,1,107,25,,,有關中國各菜系與其著名菜餚之組合，正確者為何？,粵菜─東江鹽焗雞、北平烤鴨、酸菜白肉鍋,川菜─螞蟻上樹、九轉肥腸、烤乳豬,臺菜─麻油雞、三杯雞、紅蟳米糕,湘菜─麻婆豆腐、東安子雞、叫化雞,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q25,needs-review,FALSE,
mock-p1-r1-y107-q026,p1,1,107,26,,,餐廳為提升知名度，設計有企業識別系統(CIS)供消費者辨識，並選擇集中採購、聯合行銷方式營運，以降低進貨與營銷成本；由此推測，該餐廳經營型態應屬下列何者？,Independent Restaurant,Atmosphere Restaurant,Commercial Restaurant,Chain Restaurant,,D,,single-choice,117-1專一試題\auto\117-1專一試題.md#q26,needs-review,FALSE,
mock-p1-r1-y107-q027,p1,1,107,27,,,有關西餐廚房人員職稱用語之敘述，下列何者不正確？,學徒：Apprentice,點心廚師：Pantry Chef,肉類廚師：Butcher,副主廚：Sous Chef,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q27,needs-review,FALSE,
mock-p1-r1-y107-q028,p1,1,107,28,,,餐飲業者面對不同的採購進貨，常會選用不同的驗收方法，以便有效率的檢視進貨品質；如遇品項繁多，無法逐一檢驗，或是可以觸覺、嗅覺，搭配一般簡易度量衡器具即可完成驗收等狀況，宜選用之驗收方式分別為何？,抽樣驗收；一般驗收,技術驗收；發票驗收,試驗驗收；抽樣驗收,一般驗收；技術驗收,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q28,needs-review,FALSE,
mock-p1-r1-y107-q029,p1,1,107,29,,,「鮮奶黑糖波霸」為時下熱門手搖飲之精選，為有效控制食材成本，賺取一定比例利潤，如將其成本率設定為35%，每杯售價60 元，調製所需花費之成本為何？,17 元,18 元,21 元,24 元,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q29,needs-review,FALSE,
mock-p1-r1-y107-q030,p1,1,107,30,,,米飯等穀類食品經烹調、拆封後，如未立即食用，也未適當冷藏貯存，易孳生下列何類細菌，導致食用後出現噁心、嘔吐等食物中毒症狀？,肉毒桿菌,沙門氏桿菌,仙人掌桿菌,黴菌毒素,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q30,needs-review,FALSE,
mock-p1-r1-y107-q031,p1,1,107,31,,,日前新聞報導指出：「苗栗三義鄉知名民宿－卓也小屋疑因電線走火，致使餐廳兼交誼廳遭受祝融全毀，幸好無人傷亡…」；如依「燃燒物質」區分，卓也小屋引發之火災類型應屬下列何類別？,A 類火災,B 類火災,C 類火災,D 類火災,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q31,needs-review,FALSE,
mock-p1-r1-y107-q032,p1,1,107,32,,,「餐飲業常依工作內容區分從業人員權責，其中「Maître d’hôtel」主要工作職責為何？,提供顧客侍酒服務,提供客房餐飲服務,負責內場餐食製備,負責外場服務督導,,D,,single-choice,117-1專一試題\auto\117-1專一試題.md#q32,needs-review,FALSE,
mock-p1-r1-y107-q033,p1,1,107,33,,,餐飲組織工作設計要項中，何者可明確指出工作人員必要之能力、技能，讓員工明確了解工作內容和工作要求標準？,工作分類(Job Classification),工作說明書(Job Description),工作分配(Job Distribution),工作分析(Job Analysis),,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q33,needs-review,FALSE,
mock-p1-r1-y107-q034,p1,1,107,34,,,依據《食品安全衛生管理法》之規定，現行國內有關食品安全衛生事項之中央主管機關為下列何者？,行政院衛生福利部,行政院農業委員會,行政院環境保護署,行政院勞工委員會,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q34,needs-review,FALSE,
mock-p1-r1-y107-q035,p1,1,107,35,,,有關餐廳乾貨庫房管理原則之敘述，下列何者正確？甲、乾貨存放架離地面至少8 寸(約20 cm)存放架上乙、冷凍庫溫度須保持於 $- 1 8 ^ { \circ } \mathrm { C }$ 以下丙、庫房中相對濕度(relative humidity)應控制在 30%\~40%丁、乾貨儲藏量以10 天為標準庫存量,甲、乙,乙、丙,丙、丁,甲、乙、丙、丁,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q35,needs-review,FALSE,
mock-p1-r1-y107-q036,p1,1,107,36,,,舉凡餐廳內各式器皿洗滌、保養維護、廢棄物處理與蟲害防治等工作，隸屬於下列何一部門管控？,飲務部(Beverage Dept.),餐務部(Steward Dept.),宴會部(Banquet Dept.),客房餐飲部(Room Service Dept.),,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q36,needs-review,FALSE,
mock-p1-r1-y107-q037,p1,1,107,37,,,餐廳考量主管可能無法有效領導與指揮 15 位基層服務人員，另行編制一位主任與 2 位領班協助，此目的為實踐組織設計何項原則？,統一指揮(Unity Command),工作分配(Job Assignment),賦予職權(Delegation of Responsibility and Authority),指揮幅度(Span of Control),,D,,single-choice,117-1專一試題\auto\117-1專一試題.md#q37,needs-review,FALSE,
mock-p1-r1-y107-q038,p1,1,107,38,,,「員工餐」是員工每天最有機會接觸到的公司福利，各家知名餐廳業者也都有「員工餐制度」，如鼎泰豐免費三餐、必勝客店隨你吃、爭鮮壽司吃到飽…。如依支出成本類別區分，「員工餐供應」屬於下列何者？,人事成本,行銷成本,餐飲成本,水電成本,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q38,needs-review,FALSE,
mock-p1-r1-y107-q039,p1,1,107,39,,,伴隨健康意識的抬頭，食物烹調也興起健康風潮，強調少油少鹽、簡單烹調、忠於原味，就是美味；其中又以「濕熱烹調」最為倡行；下列烹調方式何者屬「濕熱烹調」原理？,Roasting,Steaming,Pan-Frying,Grilling,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q39,needs-review,FALSE,
mock-p1-r1-y107-q040,p1,1,107,40,,,餐旅業是以「人」為核心的服務產業，面對新進員工，往往都會依照職務專業，提供下列何類教育訓練，以協助其能在企業中適應、學習、成長，並擔負適當的任務？,Up-grading Training,On-Job Training,Orientation Training,Development Training,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q40,needs-review,FALSE,
mock-p1-r1-y107-q041,p1,1,107,41,,,下列工作內容要項中，屬於Hostess 職責範圍者為何？甲、負責督導檢查與人員工作分配乙、收拾殘盤丙、親切問候並迎賓入座丁、掌控每日訂席狀況,甲、乙,丙、丁,甲、乙、丁,甲、乙、丙、丁,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q41,needs-review,FALSE,
mock-p1-r1-y107-q042,p1,1,107,42,,,下列廚房格局類型中，何者以團膳供應為主，較適合醫院、公司行號或學校廚房採用？,直線型排列,背對背平行排列,U 字型排列,面對面平行排列,,D,,single-choice,117-1專一試題\auto\117-1專一試題.md#q42,needs-review,FALSE,
mock-p1-r1-y107-q043,p1,1,107,43,,,如以人工方式進行餐具清洗，其正確之洗滌流程為何？,Scrape→Pre-Wash→Wash→Rinse→Sanitize→Air-Dried,Air-Dried→Wash→Pre-Wash→Sanitize→Rinse→Scrape,Air-Dried→Pre-Wash→Wash→Rinse→Sanitize→Scrape,Scrape→Wash→Pre-Wash→Sanitize→Rinse→Air-Dried,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q43,needs-review,FALSE,
mock-p1-r1-y107-q044,p1,1,107,44,,,有關人們平日進餐形式之敘述，下列何者錯誤？,Soiree：多於下午一點後進行，餐間還安排有聯誼、節目表演等活動,Brunch：介於早餐與午餐之間進行,Lunch：於中午時間進行，餐點以輕食或簡餐為主,Supper：多於晚餐時間進行，餐點以簡單的輕食為主,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q44,needs-review,FALSE,
mock-p1-r1-y107-q045,p1,1,107,45,,,歐圖餐廳外場設有 80 個座位，每日中午用餐人數約 120 人，每人平均消費 240 元；請問：該餐廳每日中午翻檯率為何？,1,1.5,2,2.5,,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q45,needs-review,FALSE,
mock-p1-r1-y107-q046,p1,1,107,46,,,下列西方代表性餐點所屬國家配對，何者錯誤？,舒芙蕾(Souffle)是法國著名的甜點,起士火鍋(Fondue)是瑞士著名的菜餚,吉拿棒(Churros)是義大利著名的點心,羅宋湯(Russian Borsch)是俄羅斯著名的菜餚,,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q46,needs-review,FALSE,
mock-p1-r1-y107-q047,p1,1,107,47,,,餐飲業常見之「ABC 存貨控制法」，是將產品依其數量與價值進行分類管控；下列相關之敘述，何者正確？,A 類：為低單價但存貨量多之商品，例如：免洗餐具,C 類：為高單價之商品，例如：魚翅,又稱為「經濟採購量法」,又稱為「重點分類管理法」,,D,,single-choice,117-1專一試題\auto\117-1專一試題.md#q47,needs-review,FALSE,
mock-p1-r1-y107-q048,p1,1,107,48,,,下列餐飲組織類型中，何者較具調度彈性，可應特殊專案調編所需人員，待活動結束後再回歸原單位；同時也具有暢通的橫向溝通管道，面對顧客需求反應也較為迅速？,功能型(Functional Organization),矩陣型(Matrix Organization),產品型(Product Organization),專案式(Project Organization),,B,,single-choice,117-1專一試題\auto\117-1專一試題.md#q48,needs-review,FALSE,
mock-p1-r1-y107-q049,p1,1,107,49,,,餐飲業建立服務標準作業流程(S.O.P)，主要是為了因應下列何一行業屬性？,Heterogeneity,Combination,Inseparability),Variability,,A,,single-choice,117-1專一試題\auto\117-1專一試題.md#q49,needs-review,FALSE,
mock-p1-r1-y107-q050,p1,1,107,50,,,海底撈海鮮餐廳以每公斤120 元價格，購入臺灣鯛魚50 條(每條約重1 公斤)，經去除鱗片、內臟等前置處理，可食用部分剩餘30 公斤；請問該批魚貨切割耗損率為何？,20%,30%,40%,"50%

## 【以下空白】",,C,,single-choice,117-1專一試題\auto\117-1專一試題.md#q50,needs-review,FALSE,
mock-p1-r2-y107-q001,p1,2,107,1,,,2018年巴比倫颱風重創日本關西地區，使得關西旅客人次驟減，嚴重影響當地餐旅業經營。此段敘述反應出餐旅業何種行業特性？,Inseparability,,Competition,Seasonality,,B,,single-choice,117-2專一試題\auto\117-2專一試題.md#q1,needs-review,FALSE,
mock-p1-r2-y107-q002,p1,2,107,2,,,宥辰旅行社為花花公司安排員工旅遊，試問「宥辰旅行社」與「花花公司參與旅遊的員工」分別屬於何種觀光系統組合要素？,觀光主體、觀光媒體,,觀光客體、觀光媒體,觀光媒體、觀光主體,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q2,needs-review,FALSE,
mock-p1-r2-y107-q003,p1,2,107,3,,,2018 FIFA世足賽熱潮席捲全球，全球周邊商機大爆發，主辦國俄羅斯吸引逾三百多萬人次入境觀光，創造近310 億美元周邊經濟效益，但也因賽事舉辦，境內增加了許多垃圾、二氧化碳排放量…。試依據此段敘述判斷，世足賽對主辦國最主要產生之影響為何？,文化、社會,環境、文化,社會、經濟,經濟、環境,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q3,needs-review,FALSE,
mock-p1-r2-y107-q004,p1,2,107,4,,,政府機構如欲了解國家觀光產值所佔比例及觀光產業發展的強度，可藉由下列哪一選項之建構，藉以收集、分析觀光消費支出、觀光商品供給與觀光生產毛額？,BSP <sup>,</sup> <sup>TGA</sup> <sub>,CRS,</sub> <sub>TSA</sub>,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q4,needs-review,FALSE,
mock-p1-r2-y107-q005,p1,2,107,5,,,餐旅從業人員職業前程規劃應有之思維，下列何者不宜？,傾心短暫學習,檢視興趣所在,調整學習方向,自我志向探索,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q5,needs-review,FALSE,
mock-p1-r2-y107-q006,p1,2,107,6,,,辰餐廳內場廚房人員於食物烹調過程中未能處理乾淨，導致客人用餐時吃到蛋殼，因而提出客訴。此時服務人員Jerry「放下身段，耐心安撫客人情緒，進行良性溝通，讓客人感到倍受重視」。試問，上述服務人員Jerry穩重不失禮節處理此問題的過程，主要展現何種基本工作能力？,經營管理能力,功能性能力,技術性能力,社會性能力,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q6,needs-review,FALSE,
mock-p1-r2-y107-q007,p1,2,107,7,,,「墾丁福華飯店」享有得天獨厚的地理位置，獨占墾丁美景之最，有感墾丁沙灘髒亂問題日趨嚴重，發起淨灘活動，並提供參與活動的民眾住宿優惠，受到許多好評回響。試問：此段敘述說明墾丁福華飯店哪一層面之職業道德展現？,顧客,政府,社會,,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q7,needs-review,FALSE,
mock-p1-r2-y107-q008,p1,2,107,8,,,中國地大物博、源遠流長，孕育出許多美味佳餚，由東到西、從南到北，各派菜系各擅勝場。下列菜系名餚之組合，何者正確？,閩菜－龍鬚燕丸、紅糟肉、八寶蟳飯,浙菜－西湖醋魚、咕咾肉、魚香肉絲,粵菜－京都排骨、左宗棠雞、叉燒肉,川菜－東坡肉、蜜汁火腿、乾燒蝦仁,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q8,needs-review,FALSE,
mock-p1-r2-y107-q009,p1,2,107,9,,,有關餐旅從業人員的儀態，下列何者不恰當？,站立時，上身挺直不駝背,服務時動作優雅得體,行動步伐輕盈穩健,彩繪指甲藏污隱垢,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q9,needs-review,FALSE,
mock-p1-r2-y107-q010,p1,2,107,10,,,下列有關我國旅館業發展重要紀事之敘述，試依發生時間先後正確排序之：「中華民國旅館事業協會(HARC)」成立首座國際連鎖品牌飯店「臺北希爾頓大飯店」開幕停辦「梅花等級評鑑制度公佈首波星級旅館評鑑認證名單,①②③④,②①③④,②③①④,③②①④,,A,,single-choice,117-2專一試題\auto\117-2專一試題.md#q10,needs-review,FALSE,
mock-p1-r2-y107-q011,p1,2,107,11,,,下列有關旅館客房類型特色之敘述，何者錯誤？,Twin Room：設置有兩張單人床之客房,Hollywood Style：將兩張尺寸相同的單人床併列陳設，並於左右兩側各置一個床頭櫃,Duplex Suite：指豪華套房,Presidential Suite：提供 24 小時的管家服務,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q11,needs-review,FALSE,
mock-p1-r2-y107-q012,p1,2,107,12,,,有關國內現行星級旅館評鑑制度之敘述，下列何者正確？,評鑑期程每五年辦理一次,評鑑項目包含「建築設備」與「服務品質」，並採同步方式進行評鑑,「建築設備」評鑑費用由受評業者支付,「建築設備」與「服務品質」評鑑合計總分達 730 分以上即屬五星級旅館,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q12,needs-review,FALSE,
mock-p1-r2-y107-q013,p1,2,107,13,,,下列餐旅活動型態之敘述，屬於 Group Inclusive Package Tour 者為何？,17 世紀，英國貴族子女於學業修習期間或修業完成後，前往歐洲各國遊歷以增廣見聞,西元 1841 年英國湯瑪斯庫克(Thomas Cook)將鐵路運輸與旅遊活動結合，帶動交通、餐飲和住宿三合一旅遊新模式,藉由會議舉行參與，順道進行個人觀光遊覽,考量個人身心健康所需，選擇醫療設施較完善的國家進行自由行,,B,,single-choice,117-2專一試題\auto\117-2專一試題.md#q13,needs-review,FALSE,
mock-p1-r2-y107-q015,p1,2,107,15,,,宥辰飯店擁有 505 間客房，客房狀態皆為可售房，12/20 當日空房數為 155 間，GIT 住房數為150 間，故障房數(O.O.O.)為 5 間，請問該飯店 12/20 當日 Occupancy Rate 為何？,50%,60%,70%,80%,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q15,needs-review,FALSE,
mock-p1-r2-y107-q016,p1,2,107,16,,,有關歐洲餐飲業發展史實之敘述，下列何者錯誤？,十字軍東征間促成「薑、肉桂、蕃紅花」等香料傳入歐洲,文藝復興時期興起的咖啡屋(Coffee House)，可視為餐廳(Restaurant)發展的前身,義大利公主凱瑟琳‧德‧梅第奇(Catherine de Médicis)將義大利菜及餐桌禮儀引進法國,法蘭西斯‧皮耶爾(François Pierre de la Varenne)撰著《美食者年鑑》(L’Almanach desgourmands)，帶動飲食評鑑風潮,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q16,needs-review,FALSE,
mock-p1-r2-y107-q017,p1,2,107,17,,,君品酒店－「頤宮」日前摘下 2018 臺北米其林唯一 3 星餐廳殊榮，堪稱臺灣餐飲界的翹楚；如依米其林星級評定認證，「頤宮」中餐廳3 顆星代表意義為何？,「頤宮」是同類別中出眾，值得停車品嚐的餐廳,「頤宮」是廚藝高明，值得繞道前往品嚐的餐廳,「頤宮」是供應出類拔萃的料理，值得專程造訪的餐廳,「頤宮」是等級卓越、用餐可看到美麗風景的餐廳,,C,,single-choice,117-2專一試題\auto\117-2專一試題.md#q17,needs-review,FALSE,
mock-p1-r2-y107-q018,p1,2,107,18,,,有關臺灣餐飲業的發展，下列敘述何者錯誤？,戒嚴時期，人們到餐廳消費必須繳付宴席稅,鄭成功駐守臺灣期間，將日式料理引進臺灣,頂呱呱速食店是我國本土速食品牌,臺灣第一家西餐廳為位於臺北民生西路的「波麗路(BOLERO)西餐廳」,,B,,single-choice,117-2專一試題\auto\117-2專一試題.md#q18,needs-review,FALSE,
mock-p1-r2-y107-q019,p1,2,107,19,,,宥辰自助餐廳消費方式是依顧客挾取的餐點種類及份量計價；由此可推知，該餐廳餐飲服務類型為下列何者？,Buffet Service,Delivery Service,Counter Service,Cafeteria Service,,D,,single-choice,117-2專一試題\auto\117-2專一試題.md#q19,needs-review,FALSE,
