id,paper,exam_round,year,question_number,variant,taxonomy_code,prompt_md,option_a,option_b,option_c,option_d,option_e,answer,explanation_md,question_type,source_ref,review_status,enabled,updated_at
mock-p2-r2-y107-q001,p2,2,107,1,,,餐廳介紹禮儀情境題：有一位服務員正接待一位重要的賓客，現場還有餐廳主管在餐廳內等候，角色1：服務員－宋惠橋，角色2：重要賓客－智業文化出版社公司李光珠董事長，角色3：餐廳經理－宋中基。請問當時服務員應該如何介紹，依介紹的禮儀的順序，如何才是合宜的介紹禮儀呢？,①您好，您就是李董事長嗎？②我是服務員宋惠橋，這是我們的餐廳經理一宋中基／③您好，我是經理宋中基,①李董事長，您好／②我是宋惠橋，他是經理一宋中基,①您好，我是服務員宋惠橋／②李董事長，您好，這是我們的餐廳經理一宋中基／③宋經理，智業文化出版社公司李光珠董事長,李董事長您好，這是我們的餐廳經理－宋中基／宋經理，智業文化出版社公司李光珠董事長／我是服務員宋惠橋,,C,,single-choice,117-2專二試題\auto\117-2專二試題.md#q1,needs-review,FALSE,
mock-p2-r2-y107-q002,p2,2,107,2,,,下列各種餐廳服勤設備中，會在客人的面前或桌邊提供食物製備服務的設備共有幾種？①Reception Desk ②Flambé Trolley Trencher Wagon④Service Station ⑤Food Warmer Cart ⑥Tray Stand,2 種,3 種,4 種,5 種,,B,,single-choice,117-2專二試題\auto\117-2專二試題.md#q2,needs-review,FALSE,
mock-p2-r2-y107-q003,p2,2,107,3,,,在銀盤式服務為主的高級餐廳中，其下列各種餐廳餐具，共有幾種並非提供給客人用餐使用，而是屬於服務用的器具？Spaghetti Tongs Carving Knife Lobster Pick④Long Drink Spoon ⑤Grapefruit Spoon ⑥Salmon Knife,2 種,3 種,4 種,5 種,,B,,single-choice,117-2專二試題\auto\117-2專二試題.md#q3,needs-review,FALSE,
mock-p2-r2-y107-q004,p2,2,107,4,,,"智業餐廳推出的今日早餐及午餐特選菜單中，請依據下列菜單所羅列的餐點判斷哪一種宗教信仰的客人可以安心享用這套菜單？

![](images/a4fc99753b4daddc10a4b4e3877a948e952390b7d23790ec3a32a1aaf63c84e7.jpg)",印度教,摩門教,回教,基督教,,D,,single-choice,117-2專二試題\auto\117-2專二試題.md#q4,needs-review,FALSE,
mock-p2-r2-y107-q005,p2,2,107,5,,,智業咖啡館是一家個性化獨立經營的咖啡館，採用櫃檯式服務，客人自行到櫃台點餐及取餐，客人自行在店內選擇喜歡的座位入座，離開時，協助將殘杯盤放置餐檯回收處，根據以上所敘述之特色，較適合智業咖啡館所呈現的菜單類型為哪一種？,懸掛形菜單,書本形菜單,平版電腦式菜單,摺疊形菜單,,A,,single-choice,117-2專二試題\auto\117-2專二試題.md#q5,needs-review,FALSE,
mock-p2-r2-y107-q006,p2,2,107,6,,,有關日本料理的進餐禮儀，下列敘述何者不正確？,開胃菜由三種小菜組成，通常是從左側先吃、再吃右側，最後吃中間的小菜,喝味噌湯時，應將碗端起，以碗就口，以「一口湯、一口湯料」的方式交互食用,飯、汁物、香之物通常一起上桌，應先喝湯、再吃飯、然後再與醃菜(香之物)交互食用,食用刺身時，先吃油脂少的白肉(如旗魚)，再吃油脂多的紅肉(如鮭魚),,C,,single-choice,117-2專二試題\auto\117-2專二試題.md#q6,needs-review,FALSE,
mock-p2-r2-y107-q007,p2,2,107,7,,,實習老師小美上台進行教學演示，講解並示範如何正確擦拭餐具，下列哪一個部分，小美老師說明錯誤？,首先，擦拭餐具時，未擦拭之餐具應擺在桌上，並準備一桶熱水及擦拭餐具的布巾進行擦拭，擦拭完成之餐具才擺入鋪上乾淨布巾之托盤,現在老師左手取布巾一角拿取握柄，檢視餐刀有無汙垢或損壞，然後將餐刀置於熱水上方薰蒸,接著，右手取布巾另一端來回擦拭刀刃正、反兩面,同學注意喔，我們在擦拭餐刀時，應將刀刃朝右，以免割傷,,D,,single-choice,117-2專二試題\auto\117-2專二試題.md#q7,needs-review,FALSE,
mock-p2-r2-y107-q008,p2,2,107,8,,,餐廳的服務檯是用來放置經常使用的餐具備品，以方便服務員立即有效率的取用，以提供客人快速的服務，下列選項中的餐具所列出的餐具放置於右圖服務檯相對應的位置 上，何者較不適宜？ 壺,菜單、麵包籃、花瓶及水,刀、叉、匙,餐盤、咖啡杯及底盤,"布巾、托盤

![](images/cd495f03e03d9010e308d9f0b80129daa879d8be17f7e43c8b6055892d476b43.jpg)",,B,,single-choice,117-2專二試題\auto\117-2專二試題.md#q8,needs-review,FALSE,
mock-p2-r2-y107-q009,p2,2,107,9,,,有關口布的介紹，下列敘述何者不正確？,口布又稱為餐巾，古羅馬時期，人們常使用一條布巾，圍在脖子上，為避免弄髒衣物，現今，已改為平鋪於顧客雙腿上,用餐時，口布可用來擦拭嘴角或避免餐屑、湯汁等食物沾污衣物,早餐或早茶使用的口布規格通常是55cm 55cm,混紡材質的口布，清洗後不易產生皺摺，但吸水及去污性較弱,,C,,single-choice,117-2專二試題\auto\117-2專二試題.md#q9,needs-review,FALSE,
mock-p2-r2-y107-q010,p2,2,107,10,,,口布的用途可分為觀賞、客用及服勤三大用途，下列各種不同口布款式，適合做為客用口布的共有幾款？①金字塔 ②和服 ③立西 ④法國摺 ⑤帳篷 ⑥靴子,2 款,3 款,4 款,5 款,,B,,single-choice,117-2專二試題\auto\117-2專二試題.md#q10,needs-review,FALSE,
mock-p2-r2-y107-q011,p2,2,107,11,,,依據口布的摺疊技巧，下列口布款式中，以對角法為開始第一摺的共有幾款？①雨後春筍 ②帳篷 ③土地公 ④法國摺 ⑤西裝 ⑥濟公帽,2 款,3 款,4 款,5 款,,C,,single-choice,117-2專二試題\auto\117-2專二試題.md#q11,needs-review,FALSE,
mock-p2-r2-y107-q012,p2,2,107,12,,,餐廳在佈置方型餐桌時，從完整鋪設檯布到定位口布，從桌面由下而上的順序分別是哪些布巾？,Napkin/Overlay/Table Cloth/Silence Pad Cloth,Napkin/Table Cloth/Overlay/Silence Pad Cloth,Silence Pad Cloth/Overlay/Table Cloth/Napkin,Silence Pad Cloth/Table Cloth/Overlay/Napkin,,D,,single-choice,117-2專二試題\auto\117-2專二試題.md#q12,needs-review,FALSE,
mock-p2-r2-y107-q013,p2,2,107,13,,,有關餐桌的架設方法，下列何者方式或步驟並不正確？,左叉右刀匙,點心餐具：匙上叉下,餐叉齒朝上、柄朝下,杯子直線形擺法由上往下 45°依序為：水杯—白酒杯—紅酒杯,,A,,single-choice,117-2專二試題\auto\117-2專二試題.md#q13,needs-review,FALSE,
mock-p2-r2-y107-q018,p2,2,107,18,,,根據西餐擺設的原則及用餐的需求，下列單點菜單中必須在事前擺設或隨餐時，附給客人洗手盅的共有幾種菜餚？①Shrimp Cocktail ②Oyester ③Cayiar ④Labster ⑤Mousse ⑥Souffle,2 種,3 種,4 種,5 種,,A,,single-choice,117-2專二試題\auto\117-2專二試題.md#q18,needs-review,FALSE,
mock-p2-r2-y107-q019,p2,2,107,19,,,高雄縣內門鄉的「總舖師」可說是「頂港有名聲，下港有出名」，是全臺灣總舖師最密集的鄉鎮，可說是臺灣「食神之鄉」，請問臺灣特有的「辦桌」文化，是屬於哪一種餐飲服務方式？,Institutional Food Service,Catering Service,Banquet Service,Take out Service,,B,,single-choice,117-2專二試題\auto\117-2專二試題.md#q19,needs-review,FALSE,
mock-p2-r2-y107-q020,p2,2,107,20,,,小天一家人暑假到沖繩自駕旅行，午餐是在飛機上享用飛機餐，晚上則是在日本便利商店Lawson 買日式燒肉便當，小天的兒子逛國際通時，因為口渴買了販賣機的果汁享用。隔天中午享用了小天最愛的燒肉放題(吃到飽)，下午則在媽媽最愛的星巴克悠閒喝咖啡、吃點心。請依文中敘述的內容及順序，排列小天一家人旅行中遇到的餐飲服務方式？,Cabin Catering Service/Convenience Food Service/Vending Machine Service/Buffet Service/ Counter Service,In-Flight Service/Convenience Food Service/Mobile Canteen Service Service/Buffet Service/ Counter Service,In-Flight Service/Convenience Food Service/Vending Machine Service/Buffet Service/Self Service,Cabin Catering Service/Cafeteria Service/Vending Machine Service/Buffet Service/Table Service,,A,,single-choice,117-2專二試題\auto\117-2專二試題.md#q20,needs-review,FALSE,
mock-p2-r2-y107-q021,p2,2,107,21,,,下列哪一種餐桌服務的服務員需要精準的分菜服務及調理、攪拌、切割與去骨的技術？,中餐廳預先擺放一個「骨盤」，原先是為了放骨頭或魚刺之用，現在則是用來裝盛分菜的菜餚,小吃服務是指一般平價餐廳，屬於團體的用餐方式，菜單多制式化,分菜的順序從主賓開始，以右手從顧客右側挾取菜餚至其骨盤中，接著依順時針方向進行，最後才是服務主人,高級的宴席分菜服務多會統一空出一個席位的空間，做為分菜口，通常設於主人的右側,,D,,single-choice,117-2專二試題\auto\117-2專二試題.md#q21,needs-review,FALSE,
mock-p2-r2-y107-q023,p2,2,107,23,,,智業文化出版社辦理餐旅名人開講系列活動，邀請到臺灣法國料理名廚江振誠演講，參與的民眾多達千人，舉辦場地的飯店應將此場演講以何種場地布置形式呈現較為適當？,戲院型排列法,教室型排列法,口字形排列法,U 字型排列法,,A,,single-choice,117-2專二試題\auto\117-2專二試題.md#q23,needs-review,FALSE,
mock-p2-r2-y107-q024,p2,2,107,24,,,下列哪一種餐飲服務器具或設備，比較不會出現在客房餐飲服務(Room Service)中？,Oloroso Sherry,"## 26-30 題為題組

為了慶祝母親節，傑倫一家人(傑倫媽媽、昆玲、傑倫女兒小周周)前往智業法式西餐廳用餐，餐廳事先知道有 VIP 貴賓到來，已事先安排好坐位，並進行基本餐具擺設。當天，傑倫媽媽主餐點了蛋煎起司鯛魚排，傑倫的主餐是黛安娜火焰牛排、昆玲的主餐是法式嫩煎雞排，經侍酒師推薦後，傑倫還點一瓶玫瑰紅酒來搭配主餐，附餐飲料則是三杯熱拿鐵咖啡。用餐過程服務員依點菜內容依序上菜收盤，提供良好精緻的優質服務，結帳時，傑倫以信用卡付款，發現結帳金額較預期的少，原來是餐廳經理招待玫瑰紅酒，傑倫為表感謝餐廳提供精緻的服務，也特別和經理及服務員簽名並合影留念。",Port,Rosso Vermouth,,C,,single-choice,117-2專二試題\auto\117-2專二試題.md#q24,needs-review,FALSE,
mock-p2-r2-y107-q026,p2,2,107,26,,,領檯員應將傑倫一家人安排坐於何處的位置較為適當？,安排於角落或較隱密的座位,安排於窗邊安靜且視野好的位置,安排於出入口的座位，方便進出,安排於吧檯或開放廚房旁，看得到內場人員的製備餐點及飲料,,A,,single-choice,117-2專二試題\auto\117-2專二試題.md#q26,needs-review,FALSE,
mock-p2-r2-y107-q027,p2,2,107,27,,,領檯員帶位入座時，應先請傑倫一家人的哪位貴賓先行入座，為他拉開椅子？,4 歲的小周周,傑倫媽媽,傑倫,昆玲,,B,,single-choice,117-2專二試題\auto\117-2專二試題.md#q27,needs-review,FALSE,
mock-p2-r2-y107-q028,p2,2,107,28,,,由於餐廳事先已為傑倫預約的餐桌擺設基本餐具，請問服務員點餐後應該為哪位客人重新調整餐具？,傑倫媽媽,,昆玲,傑倫、傑倫媽媽及昆玲,,B,,single-choice,117-2專二試題\auto\117-2專二試題.md#q28,needs-review,FALSE,
mock-p2-r2-y107-q029,p2,2,107,29,,,侍酒師在主餐前為傑倫一家人進行酒類服勤，先進行酒類介紹、調整酒溫、開酒、試酒、倒酒的專業服務，請問進行試酒時，侍酒師應該請哪一位試酒較適合？,侍酒師自己試,傑倫媽媽,傑倫,昆玲,,C,,single-choice,117-2專二試題\auto\117-2專二試題.md#q29,needs-review,FALSE,
mock-p2-r2-y107-q030,p2,2,107,30,,,請問餐廳經理招待的玫瑰紅酒，在餐廳的付款記錄上應登錄為何者？,Drink Vouchers,City Ledger,ENT(Entertainment),House Use,,C,,single-choice,117-2專二試題\auto\117-2專二試題.md#q30,needs-review,FALSE,
mock-p2-r2-y107-q031,p2,2,107,31,,,"下列哪一種塑膠材質回收標誌為聚氯乙烯，此種材質經過焚化後會產生戴奧辛，許多國家禁用？

![](images/e0f560f2c2fc612d1be1bf9815baaa94a6ace4c78a452207e3e49008a5fc393f.jpg)  
PET

![](images/ec2d48c0f08b164526f0445cba904c6d9a975f5ac9a606db87adb872ca647395.jpg)  
HDPE

![](images/fab7bf3b59554b6e67004b5e82bf9497a6f15eaad09e22c63af01dd798cd8e81.jpg)  
PVC

![](images/c4fc9205860283269be05d2e0152b7d105092a62c28ae658ec58485ae37edc7a.jpg)  
LDPE",,,,,,C,,essay,117-2專二試題\auto\117-2專二試題.md#q31,needs-review,FALSE,
mock-p2-r2-y107-q032,p2,2,107,32,,,我國自91 年起推動購物用塑膠袋減量工作(限塑政策)，規定量販店、超級市場、連鎖便利商店等7 大類約2 萬家商店不得免費提供購物用塑膠袋，以養成民眾自備購物袋的習慣。今年更是擴大實施，預計將於2030 年全面禁用。下列何者非限塑政策中禁用的項目？,一次性塑膠吸管,免洗餐具,飲料杯,衛生筷,,D,,single-choice,117-2專二試題\auto\117-2專二試題.md#q32,needs-review,FALSE,
mock-p2-r2-y107-q033,p2,2,107,33,,,有關餐廳安全維護與緊急事件的應對，下列敘述何者錯誤？,飯店或餐廳若有安全門必須是防火材質，平常應保持關閉狀態，但勿上鎖,使用瓦斯爐灶時，應先打點火槍，點著母火，再開瓦斯點燃子火,食物中毒如為誤食農藥，應該讓患者喝下牛奶、鹽水或澱粉水等,"取熱鍋時，避免燙傷的方式是使用濕抹布端取熱鍋

## 第二部分：飲料與調酒",,D,,single-choice,117-2專二試題\auto\117-2專二試題.md#q33,needs-review,FALSE,
mock-p2-r2-y107-q034,p2,2,107,34,,,"看過 007 系列電影的大家，一定對裡面詹姆士龐德說的這句台詞印象深刻：「Vodka Martini,Shaken, not stirred」，讓人也想去酒吧帥氣的點一杯來喝，請問詹姆士龐德喜愛的這款酒，依照雞尾酒之分類方式，何者屬之？",Short Drinks/Dry Drinks,,Long Drinks/Cream Drinks,Long Drinks/Dry Drinks,,A,,single-choice,117-2專二試題\auto\117-2專二試題.md#q34,needs-review,FALSE,
mock-p2-r2-y107-q035,p2,2,107,35,,,調酒師取用酒類材料時，想要了解該款酒類的酒精濃度時必須注意酒標上酒精濃度的標示，下列哪一種標示並非指酒精濃度？,臺北市長小柯—木柵鐵觀音：口感濃郁而甘醇，略帶純和的弱果酸味，飲入後芬芳香氣持久不散，且回甘於喉，讓人欲罷不能,新北市長小朱—石門鐵觀音：石門觀音係以鮮嫩的茶葉製成，且揉捻程度適中，因此葉面展開速度較慢，可耐久泡。加上茶身渾厚，消水程度又高，沖泡後，葉底鋸齒邊緣有紅邊，葉中呈淡綠色，此為標準鐵觀音中發酵茶的重點,南投縣長小明—鶴岡紅茶：即是台茶8 號，又名「紅玉」，其茶湯鮮紅清澈，滋味甘潤醇美，除具有天然肉桂香外，尚有淡淡薄荷香，此迷人香氣即源自臺灣野生山茶，讓人品嚐後久久無法忘懷,屏東縣長小潘—港口茶：不同於高山茶泡法，應該是老烏龍及鐵觀音泡法，茶微帶海風的清香，雖不如高山茶的香氣，但也獨具特別的茶香，味道中帶一點淡淡海藻和海水的味道，把茶的醇厚表現得很好,,C,,single-choice,117-2專二試題\auto\117-2專二試題.md#q35,needs-review,FALSE,
mock-p2-r2-y107-q037,p2,2,107,37,,,智業紅茶亭是一間紅茶茶飲專賣店，其中多款茶飲更以該紅茶品種的特色或稱號命名，下列何者非該店所賣的紅茶飲料？,茶中香檳,天使的贈予,黃金杯,威爾斯王子茶,,B,,single-choice,117-2專二試題\auto\117-2專二試題.md#q37,needs-review,FALSE,
mock-p2-r2-y107-q038,p2,2,107,38,,,人氣旅行部落客：小氣少年入住京都旅店時分享最喜歡在清晨時沖泡一杯旅店提供的日式茶包，下列何種茶品不會是日本旅店提供的日式綠茶？,眉茶,煎茶,抹茶,玉露茶,,A,,single-choice,117-2專二試題\auto\117-2專二試題.md#q38,needs-review,FALSE,
mock-p2-r2-y107-q039,p2,2,107,39,,,「功夫茶沖泡法」講究茶葉沖泡的步驟及使用的器皿，下列哪一個茶具在沖泡茶葉的過程中不會碰觸到任何茶湯或廢水？,茶海,茶盤,水方,茶漏,,D,,single-choice,117-2專二試題\auto\117-2專二試題.md#q39,needs-review,FALSE,
mock-p2-r2-y107-q040,p2,2,107,40,,,不同發酵程度的茶有著不同的製茶過程，下列哪一個製茶步驟是任何一種茶都具備的程序？,萎凋,殺菁,發酵,乾燥,,D,,single-choice,117-2專二試題\auto\117-2專二試題.md#q40,needs-review,FALSE,
mock-p2-r2-y107-q041,p2,2,107,41,,,摩卡咖啡中的摩卡有很多意義，下列的說明何者不正確？,摩卡壺是指法國人發明的沖煮咖啡的用具,摩卡港：位於阿拉伯半島上的國家，葉門的港口名稱，但現今已淤積，不再是港口,摩卡豆：指葉門或衣索比亞出產的單品咖啡豆,摩卡飲品：指咖啡或飲品中含有巧克力醬或巧克力糖漿,,A,,single-choice,117-2專二試題\auto\117-2專二試題.md#q41,needs-review,FALSE,
